Entity,Code,Year,"Current health expenditure per capita, PPP (current international $)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2002,81.271034,1280.4631,21000258,
Afghanistan,AFG,2003,82.45785,1292.3335,22645136,
Afghanistan,AFG,2004,89.470055,1260.0605,23553554,
Afghanistan,AFG,2005,100.706985,1352.3207,24411196,
Afghanistan,AFG,2006,113.754105,1366.9932,25442946,
Afghanistan,AFG,2007,107.17704,1528.3446,25903306,
Afghanistan,AFG,2008,131.14537,1556.8445,26427204,
Afghanistan,AFG,2009,148.12166,1823.7426,27385310,
Afghanistan,AFG,2010,143.6695,2026.1638,28189672,
Afghanistan,AFG,2011,143.09152,1961.0963,29249156,
Afghanistan,AFG,2012,151.91798,2122.8308,30466484,
Afghanistan,AFG,2013,174.05948,2165.3408,31541216,
Afghanistan,AFG,2014,198.2941,2144.4497,32716214,
Afghanistan,AFG,2015,211.5873,2108.714,33753500,Asia
Afghanistan,AFG,2016,234.14021,2101.422,34636212,
Afghanistan,AFG,2017,259.78683,2096.093,35643420,
Afghanistan,AFG,2018,294.3091,2060.699,36686788,
Afghanistan,AFG,2019,285.55814,2079.9219,37769496,
Afghanistan,AFG,2020,,1968.341,38972236,
Afghanistan,AFG,2021,,1516.3057,40099460,
Afghanistan,AFG,-10000,,,14737,
Afghanistan,AFG,-9000,,,20405,
Afghanistan,AFG,-8000,,,28253,
Afghanistan,AFG,-7000,,,39120,
Afghanistan,AFG,-6000,,,54166,
Afghanistan,AFG,-5000,,,74999,
Afghanistan,AFG,-4000,,,306250,
Afghanistan,AFG,-3000,,,537500,
Afghanistan,AFG,-2000,,,768751,
Afghanistan,AFG,-1000,,,999998,
Afghanistan,AFG,0,,,1999997,
Afghanistan,AFG,100,,,2250002,
Afghanistan,AFG,200,,,2500001,
Afghanistan,AFG,300,,,2500001,
Afghanistan,AFG,400,,,2500001,
Afghanistan,AFG,500,,,2500001,
Afghanistan,AFG,600,,,2500001,
Afghanistan,AFG,700,,,2425001,
Afghanistan,AFG,800,,,2350008,
Afghanistan,AFG,900,,,2299999,
Afghanistan,AFG,1000,,,2250002,
Afghanistan,AFG,1100,,,2375009,
Afghanistan,AFG,1200,,,2500001,
Afghanistan,AFG,1300,,,1749998,
Afghanistan,AFG,1400,,,1874998,
Afghanistan,AFG,1500,,,1999997,
Afghanistan,AFG,1600,,,2500001,
Afghanistan,AFG,1700,,,2500001,
Afghanistan,AFG,1710,,,2561614,
Afghanistan,AFG,1720,,,2619846,
Afghanistan,AFG,1730,,,2679387,
Afghanistan,AFG,1740,,,2740283,
Afghanistan,AFG,1750,,,2802568,
Afghanistan,AFG,1760,,,2866257,
Afghanistan,AFG,1770,,,2931400,
Afghanistan,AFG,1780,,,2998015,
Afghanistan,AFG,1790,,,3066156,
Afghanistan,AFG,1800,,,3280000,
Afghanistan,AFG,1801,,,3280000,
Afghanistan,AFG,1802,,,3280000,
Afghanistan,AFG,1803,,,3280000,
Afghanistan,AFG,1804,,,3280000,
Afghanistan,AFG,1805,,,3280000,
Afghanistan,AFG,1806,,,3280000,
Afghanistan,AFG,1807,,,3280000,
Afghanistan,AFG,1808,,,3280000,
Afghanistan,AFG,1809,,,3280000,
Afghanistan,AFG,1810,,,3280000,
Afghanistan,AFG,1811,,,3280000,
Afghanistan,AFG,1812,,,3280000,
Afghanistan,AFG,1813,,,3280000,
Afghanistan,AFG,1814,,,3280000,
Afghanistan,AFG,1815,,,3280000,
Afghanistan,AFG,1816,,,3280000,
Afghanistan,AFG,1817,,,3280000,
Afghanistan,AFG,1818,,,3280000,
Afghanistan,AFG,1819,,,3282935,
Afghanistan,AFG,1820,,,3288817,
Afghanistan,AFG,1821,,,3297661,
Afghanistan,AFG,1822,,,3309479,
Afghanistan,AFG,1823,,,3324285,
Afghanistan,AFG,1824,,,3339157,
Afghanistan,AFG,1825,,,3354095,
Afghanistan,AFG,1826,,,3369101,
Afghanistan,AFG,1827,,,3384173,
Afghanistan,AFG,1828,,,3399313,
Afghanistan,AFG,1829,,,3414520,
Afghanistan,AFG,1830,,,3429796,
Afghanistan,AFG,1831,,,3445140,
Afghanistan,AFG,1832,,,3460553,
Afghanistan,AFG,1833,,,3476034,
Afghanistan,AFG,1834,,,3491585,
Afghanistan,AFG,1835,,,3507205,
Afghanistan,AFG,1836,,,3522896,
Afghanistan,AFG,1837,,,3538656,
Afghanistan,AFG,1838,,,3554487,
Afghanistan,AFG,1839,,,3570389,
Afghanistan,AFG,1840,,,3586362,
Afghanistan,AFG,1841,,,3602406,
Afghanistan,AFG,1842,,,3618522,
Afghanistan,AFG,1843,,,3634711,
Afghanistan,AFG,1844,,,3650971,
Afghanistan,AFG,1845,,,3667305,
Afghanistan,AFG,1846,,,3683711,
Afghanistan,AFG,1847,,,3700191,
Afghanistan,AFG,1848,,,3716745,
Afghanistan,AFG,1849,,,3734342,
Afghanistan,AFG,1850,,,3752993,
Afghanistan,AFG,1851,,,3767956,
Afghanistan,AFG,1852,,,3783940,
Afghanistan,AFG,1853,,,3800954,
Afghanistan,AFG,1854,,,3818038,
Afghanistan,AFG,1855,,,3835192,
Afghanistan,AFG,1856,,,3852417,
Afghanistan,AFG,1857,,,3869714,
Afghanistan,AFG,1858,,,3887081,
Afghanistan,AFG,1859,,,3904521,
Afghanistan,AFG,1860,,,3922032,
Afghanistan,AFG,1861,,,3939616,
Afghanistan,AFG,1862,,,3957271,
Afghanistan,AFG,1863,,,3975000,
Afghanistan,AFG,1864,,,3992801,
Afghanistan,AFG,1865,,,4010675,
Afghanistan,AFG,1866,,,4028623,
Afghanistan,AFG,1867,,,4046645,
Afghanistan,AFG,1868,,,4064740,
Afghanistan,AFG,1869,,,4082915,
Afghanistan,AFG,1870,,,4101170,
Afghanistan,AFG,1871,,,4119504,
Afghanistan,AFG,1872,,,4137920,
Afghanistan,AFG,1873,,,4156416,
Afghanistan,AFG,1874,,,4174988,
Afghanistan,AFG,1875,,,4193635,
Afghanistan,AFG,1876,,,4212359,
Afghanistan,AFG,1877,,,4231159,
Afghanistan,AFG,1878,,,4250036,
Afghanistan,AFG,1879,,,4268990,
Afghanistan,AFG,1880,,,4288021,
Afghanistan,AFG,1881,,,4307129,
Afghanistan,AFG,1882,,,4326316,
Afghanistan,AFG,1883,,,4345580,
Afghanistan,AFG,1884,,,4364922,
Afghanistan,AFG,1885,,,4384343,
Afghanistan,AFG,1886,,,4403843,
Afghanistan,AFG,1887,,,4423422,
Afghanistan,AFG,1888,,,4443080,
Afghanistan,AFG,1889,,,4462817,
Afghanistan,AFG,1890,,,4482635,
Afghanistan,AFG,1891,,,4502532,
Afghanistan,AFG,1892,,,4522510,
Afghanistan,AFG,1893,,,4542568,
Afghanistan,AFG,1894,,,4562708,
Afghanistan,AFG,1895,,,4582928,
Afghanistan,AFG,1896,,,4603230,
Afghanistan,AFG,1897,,,4623613,
Afghanistan,AFG,1898,,,4644079,
Afghanistan,AFG,1899,,,4672084,
Afghanistan,AFG,1900,,,4707744,
Afghanistan,AFG,1901,,,4751177,
Afghanistan,AFG,1902,,,4802500,
Afghanistan,AFG,1903,,,4861833,
Afghanistan,AFG,1904,,,4921891,
Afghanistan,AFG,1905,,,4982681,
Afghanistan,AFG,1906,,,5044212,
Afghanistan,AFG,1907,,,5106495,
Afghanistan,AFG,1908,,,5169536,
Afghanistan,AFG,1909,,,5300178,
Afghanistan,AFG,1910,,,5504191,
Afghanistan,AFG,1911,,,5787792,
Afghanistan,AFG,1912,,,6157669,
Afghanistan,AFG,1913,,,6621025,
Afghanistan,AFG,1914,,,7119235,
Afghanistan,AFG,1915,,,7654918,
Afghanistan,AFG,1916,,,8230894,
Afghanistan,AFG,1917,,,8850190,
Afghanistan,AFG,1918,,,9529174,
Afghanistan,AFG,1919,,,9976355,
Afghanistan,AFG,1920,,,10188845,
Afghanistan,AFG,1921,,,10162753,
Afghanistan,AFG,1922,,,9893152,
Afghanistan,AFG,1923,,,9374030,
Afghanistan,AFG,1924,,,8882148,
Afghanistan,AFG,1925,,,8416077,
Afghanistan,AFG,1926,,,7974462,
Afghanistan,AFG,1927,,,7556019,
Afghanistan,AFG,1928,,,7159534,
Afghanistan,AFG,1929,,,6851115,
Afghanistan,AFG,1930,,,6626142,
Afghanistan,AFG,1931,,,6480237,
Afghanistan,AFG,1932,,,6409250,
Afghanistan,AFG,1933,,,6409250,
Afghanistan,AFG,1934,,,6409250,
Afghanistan,AFG,1935,,,6409250,
Afghanistan,AFG,1936,,,6409250,
Afghanistan,AFG,1937,,,6409250,
Afghanistan,AFG,1938,,,6409250,
Afghanistan,AFG,1939,,,6428903,
Afghanistan,AFG,1940,,,6468510,
Afghanistan,AFG,1941,,,6528377,
Afghanistan,AFG,1942,,,6608815,
Afghanistan,AFG,1943,,,6710138,
Afghanistan,AFG,1944,,,6813016,
Afghanistan,AFG,1945,,,6917471,
Afghanistan,AFG,1946,,,7023527,
Afghanistan,AFG,1947,,,7131209,
Afghanistan,AFG,1948,,,7240542,
Afghanistan,AFG,1949,,,7356890,
Afghanistan,AFG,1950,,,7480464,
Afghanistan,AFG,1951,,,7571542,
Afghanistan,AFG,1952,,,7667534,
Afghanistan,AFG,1953,,,7764549,
Afghanistan,AFG,1954,,,7864289,
Afghanistan,AFG,1955,,,7971933,
Afghanistan,AFG,1956,,,8087730,
Afghanistan,AFG,1957,,,8210207,
Afghanistan,AFG,1958,,,8333827,
Afghanistan,AFG,1959,,,8468220,
Afghanistan,AFG,1960,,,8622473,
Afghanistan,AFG,1961,,,8790140,
Afghanistan,AFG,1962,,,8969055,
Afghanistan,AFG,1963,,,9157463,
Afghanistan,AFG,1964,,,9355510,
Afghanistan,AFG,1965,,,9565154,
Afghanistan,AFG,1966,,,9783153,
Afghanistan,AFG,1967,,,10010037,
Afghanistan,AFG,1968,,,10247782,
Afghanistan,AFG,1969,,,10494491,
Afghanistan,AFG,1970,,,10752973,
Afghanistan,AFG,1971,,,11015853,
Afghanistan,AFG,1972,,,11286753,
Afghanistan,AFG,1973,,,11575308,
Afghanistan,AFG,1974,,,11869881,
Afghanistan,AFG,1975,,,12157390,
Afghanistan,AFG,1976,,,12425276,
Afghanistan,AFG,1977,,,12687308,
Afghanistan,AFG,1978,,,12938864,
Afghanistan,AFG,1979,,,12986378,
Afghanistan,AFG,1980,,,12486640,
Afghanistan,AFG,1981,,,11155196,
Afghanistan,AFG,1982,,,10088290,
Afghanistan,AFG,1983,,,9951447,
Afghanistan,AFG,1984,,,10243689,
Afghanistan,AFG,1985,,,10512220,
Afghanistan,AFG,1986,,,10448447,
Afghanistan,AFG,1987,,,10322767,
Afghanistan,AFG,1988,,,10383459,
Afghanistan,AFG,1989,,,10673172,
Afghanistan,AFG,1990,,,10694804,
Afghanistan,AFG,1991,,,10745168,
Afghanistan,AFG,1992,,,12057436,
Afghanistan,AFG,1993,,,14003764,
Afghanistan,AFG,1994,,,15455560,
Afghanistan,AFG,1995,,,16418911,
Afghanistan,AFG,1996,,,17106600,
Afghanistan,AFG,1997,,,17788818,
Afghanistan,AFG,1998,,,18493134,
Afghanistan,AFG,1999,,,19262854,
Afghanistan,AFG,2000,,,19542986,
Afghanistan,AFG,2001,,,19688634,
Colombia,COL,2000,373.7017,9138.319,39215136,
Colombia,COL,2001,403.0994,9146.405,39837876,
Colombia,COL,2002,398.79968,9232.627,40454056,
Colombia,COL,2003,418.98572,9453.328,41057688,
Colombia,COL,2004,448.68076,9816.277,41648272,
Colombia,COL,2005,500.03946,10150.708,42220944,
Colombia,COL,2006,566.74677,10692.728,42772912,
Colombia,COL,2007,628.62506,11272.578,43306592,
Colombia,COL,2008,689.5184,11507.525,43815316,
Colombia,COL,2009,742.5966,11507.717,44313916,
Colombia,COL,2010,751.30707,11890.203,44816104,
Colombia,COL,2011,779.00867,12578.016,45308896,
Colombia,COL,2012,802.70087,12934.966,45782420,
Colombia,COL,2013,884.24036,13465.075,46237928,
Colombia,COL,2014,946.68365,13938.231,46677944,
Colombia,COL,2015,988.0946,14215.688,47119728,South America
Colombia,COL,2016,1040.2124,14358.168,47625960,
Colombia,COL,2017,1088.1652,14334.915,48351668,
Colombia,COL,2018,1133.586,14426.435,49276968,
Colombia,COL,2019,1204.2977,14616.135,50187404,
Colombia,COL,1990,,8434.959,32601396,
Colombia,COL,1991,,8430.223,33272632,
Colombia,COL,1992,,8598.992,33939044,
Colombia,COL,1993,,8885.187,34614732,
Colombia,COL,1994,,9220.502,35295460,
Colombia,COL,1995,,9518.26,35970104,
Colombia,COL,1996,,9538.272,36632576,
Colombia,COL,1997,,9691.028,37291948,
Colombia,COL,1998,,9578.656,37944416,
Colombia,COL,1999,,9023.621,38585040,
Colombia,COL,2020,,13387.701,50930656,
Colombia,COL,2021,,14648.592,51516560,
Colombia,COL,-10000,,,128828,
Colombia,COL,-9000,,,161035,
Colombia,COL,-8000,,,201293,
Colombia,COL,-7000,,,251618,
Colombia,COL,-6000,,,314522,
Colombia,COL,-5000,,,393154,
Colombia,COL,-4000,,,491443,
Colombia,COL,-3000,,,614303,
Colombia,COL,-2000,,,767885,
Colombia,COL,-1000,,,959849,
Colombia,COL,0,,,1199813,
Colombia,COL,100,,,1278746,
Colombia,COL,200,,,1362874,
Colombia,COL,300,,,1452533,
Colombia,COL,400,,,1548108,
Colombia,COL,500,,,1649953,
Colombia,COL,600,,,1758505,
Colombia,COL,700,,,1874181,
Colombia,COL,800,,,1997487,
Colombia,COL,900,,,2197241,
Colombia,COL,1000,,,2396987,
Colombia,COL,1100,,,2716579,
Colombia,COL,1200,,,3036184,
Colombia,COL,1300,,,3355780,
Colombia,COL,1400,,,3675356,
Colombia,COL,1500,,,3994974,
Colombia,COL,1600,,,1258416,
Colombia,COL,1700,,,798992,
Colombia,COL,1710,,,854925,
Colombia,COL,1720,,,910849,
Colombia,COL,1730,,,966786,
Colombia,COL,1740,,,1022716,
Colombia,COL,1750,,,1078640,
Colombia,COL,1760,,,1134567,
Colombia,COL,1770,,,1190507,
Colombia,COL,1780,,,1246438,
Colombia,COL,1790,,,1302362,
Colombia,COL,1800,,,1206000,
Colombia,COL,1801,,,1206000,
Colombia,COL,1802,,,1206000,
Colombia,COL,1803,,,1206000,
Colombia,COL,1804,,,1206000,
Colombia,COL,1805,,,1206000,
Colombia,COL,1806,,,1206000,
Colombia,COL,1807,,,1206000,
Colombia,COL,1808,,,1206000,
Colombia,COL,1809,,,1206000,
Colombia,COL,1810,,,1206000,
Colombia,COL,1811,,,1206000,
Colombia,COL,1812,,,1206000,
Colombia,COL,1813,,,1206000,
Colombia,COL,1814,,,1206000,
Colombia,COL,1815,,,1206000,
Colombia,COL,1816,,,1206000,
Colombia,COL,1817,,,1206000,
Colombia,COL,1818,,,1206000,
Colombia,COL,1819,,,1214218,
Colombia,COL,1820,,,1230935,
Colombia,COL,1821,,,1256439,
Colombia,COL,1822,,,1291031,
Colombia,COL,1823,,,1335020,
Colombia,COL,1824,,,1380508,
Colombia,COL,1825,,,1427545,
Colombia,COL,1826,,,1476185,
Colombia,COL,1827,,,1526483,
Colombia,COL,1828,,,1578494,
Colombia,COL,1829,,,1625412,
Colombia,COL,1830,,,1666969,
Colombia,COL,1831,,,1702888,
Colombia,COL,1832,,,1732878,
Colombia,COL,1833,,,1756641,
Colombia,COL,1834,,,1780729,
Colombia,COL,1835,,,1805148,
Colombia,COL,1836,,,1829902,
Colombia,COL,1837,,,1854995,
Colombia,COL,1838,,,1880433,
Colombia,COL,1839,,,1903501,
Colombia,COL,1840,,,1924150,
Colombia,COL,1841,,,1942328,
Colombia,COL,1842,,,1957983,
Colombia,COL,1843,,,1971062,
Colombia,COL,1844,,,1984228,
Colombia,COL,1845,,,1997482,
Colombia,COL,1846,,,2010824,
Colombia,COL,1847,,,2024256,
Colombia,COL,1848,,,2037777,
Colombia,COL,1849,,,2059759,
Colombia,COL,1850,,,2090483,
Colombia,COL,1851,,,2130539,
Colombia,COL,1852,,,2179939,
Colombia,COL,1853,,,2238994,
Colombia,COL,1854,,,2299649,
Colombia,COL,1855,,,2361947,
Colombia,COL,1856,,,2425933,
Colombia,COL,1857,,,2491651,
Colombia,COL,1858,,,2559151,
Colombia,COL,1859,,,2607565,
Colombia,COL,1860,,,2636619,
Colombia,COL,1861,,,2646027,
Colombia,COL,1862,,,2635492,
Colombia,COL,1863,,,2604707,
Colombia,COL,1864,,,2574281,
Colombia,COL,1865,,,2544211,
Colombia,COL,1866,,,2514491,
Colombia,COL,1867,,,2485119,
Colombia,COL,1868,,,2456090,
Colombia,COL,1869,,,2441355,
Colombia,COL,1870,,,2440990,
Colombia,COL,1871,,,2455078,
Colombia,COL,1872,,,2483704,
Colombia,COL,1873,,,2526955,
Colombia,COL,1874,,,2570959,
Colombia,COL,1875,,,2615730,
Colombia,COL,1876,,,2661280,
Colombia,COL,1877,,,2707623,
Colombia,COL,1878,,,2754773,
Colombia,COL,1879,,,2802744,
Colombia,COL,1880,,,2851550,
Colombia,COL,1881,,,2901207,
Colombia,COL,1882,,,2951728,
Colombia,COL,1883,,,3003128,
Colombia,COL,1884,,,3055424,
Colombia,COL,1885,,,3108630,
Colombia,COL,1886,,,3162763,
Colombia,COL,1887,,,3217838,
Colombia,COL,1888,,,3273872,
Colombia,COL,1889,,,3330878,
Colombia,COL,1890,,,3388871,
Colombia,COL,1891,,,3447870,
Colombia,COL,1892,,,3507891,
Colombia,COL,1893,,,3568953,
Colombia,COL,1894,,,3631078,
Colombia,COL,1895,,,3694283,
Colombia,COL,1896,,,3758589,
Colombia,COL,1897,,,3824015,
Colombia,COL,1898,,,3890579,
Colombia,COL,1899,,,3960780,
Colombia,COL,1900,,,4034733,
Colombia,COL,1901,,,4112556,
Colombia,COL,1902,,,4194368,
Colombia,COL,1903,,,4280293,
Colombia,COL,1904,,,4367979,
Colombia,COL,1905,,,4457462,
Colombia,COL,1906,,,4548777,
Colombia,COL,1907,,,4641963,
Colombia,COL,1908,,,4737057,
Colombia,COL,1909,,,4837936,
Colombia,COL,1910,,,4944811,
Colombia,COL,1911,,,5057903,
Colombia,COL,1912,,,5177435,
Colombia,COL,1913,,,5303643,
Colombia,COL,1914,,,5432927,
Colombia,COL,1915,,,5565363,
Colombia,COL,1916,,,5701026,
Colombia,COL,1917,,,5839997,
Colombia,COL,1918,,,5981524,
Colombia,COL,1919,,,6126807,
Colombia,COL,1920,,,6275946,
Colombia,COL,1921,,,6429040,
Colombia,COL,1922,,,6586195,
Colombia,COL,1923,,,6747518,
Colombia,COL,1924,,,6912793,
Colombia,COL,1925,,,7082116,
Colombia,COL,1926,,,7255586,
Colombia,COL,1927,,,7433305,
Colombia,COL,1928,,,7615377,
Colombia,COL,1929,,,7786555,
Colombia,COL,1930,,,7946343,
Colombia,COL,1931,,,8094230,
Colombia,COL,1932,,,8229689,
Colombia,COL,1933,,,8352177,
Colombia,COL,1934,,,8476488,
Colombia,COL,1935,,,8602649,
Colombia,COL,1936,,,8730688,
Colombia,COL,1937,,,8860633,
Colombia,COL,1938,,,8992512,
Colombia,COL,1939,,,9142620,
Colombia,COL,1940,,,9311615,
Colombia,COL,1941,,,9500171,
Colombia,COL,1942,,,9708983,
Colombia,COL,1943,,,9938765,
Colombia,COL,1944,,,10173986,
Colombia,COL,1945,,,10414773,
Colombia,COL,1946,,,10661259,
Colombia,COL,1947,,,10913579,
Colombia,COL,1948,,,11171870,
Colombia,COL,1949,,,11456827,
Colombia,COL,1950,,,11769747,
Colombia,COL,1951,,,12087061,
Colombia,COL,1952,,,12419969,
Colombia,COL,1953,,,12767245,
Colombia,COL,1954,,,13130655,
Colombia,COL,1955,,,13512614,
Colombia,COL,1956,,,13911411,
Colombia,COL,1957,,,14329364,
Colombia,COL,1958,,,14760804,
Colombia,COL,1959,,,15211086,
Colombia,COL,1960,,,15687692,
Colombia,COL,1961,,,16182421,
Colombia,COL,1962,,,16691286,
Colombia,COL,1963,,,17210954,
Colombia,COL,1964,,,17739760,
Colombia,COL,1965,,,18275818,
Colombia,COL,1966,,,18811410,
Colombia,COL,1967,,,19343968,
Colombia,COL,1968,,,19872508,
Colombia,COL,1969,,,20392264,
Colombia,COL,1970,,,20905256,
Colombia,COL,1971,,,21405412,
Colombia,COL,1972,,,21898060,
Colombia,COL,1973,,,22396324,
Colombia,COL,1974,,,22897878,
Colombia,COL,1975,,,23403732,
Colombia,COL,1976,,,23913004,
Colombia,COL,1977,,,24443926,
Colombia,COL,1978,,,25003606,
Colombia,COL,1979,,,25579328,
Colombia,COL,1980,,,26176206,
Colombia,COL,1981,,,26785992,
Colombia,COL,1982,,,27405200,
Colombia,COL,1983,,,28042326,
Colombia,COL,1984,,,28689038,
Colombia,COL,1985,,,29326256,
Colombia,COL,1986,,,29960106,
Colombia,COL,1987,,,30603052,
Colombia,COL,1988,,,31256726,
Colombia,COL,1989,,,31923126,
